backend_mode,qaoa_variant,param_initialization,depth,warm_start,graph_size,graph_name,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
noisy_sampling,vanilla,static,10,False,9,>>graph6<<Hm~]x^^,1555.9089632034302,271,0.7346938775510204,"[0, 1, 0, 1, 1, 1, 1, 0, 0]",9.0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0]",12.25,"[1.10000041 0.89999976 0.18888869 0.81111125 0.27777789 0.72222257
 0.36666671 0.6333334  0.4555555  0.54444437 0.54444453 0.45555574
 0.6333334  0.3666666  0.72222184 0.2777779  0.81111104 0.18888864
 0.90000001 0.10000047]",0.0028
noisy_sampling,vanilla,static,10,True,5,>>graph6<<DkO,1065.6985158920288,325,1.0,"[0, 1, 1, 0, 1]",2.5,"[1.0, 0, 0, 1.0, 0]",2.5,"[0.08858063 0.85649945 0.69501981 0.54165206 0.01445076 0.81412911
 0.45434413 0.55903271 0.51068766 0.44874627 0.69117279 0.31564649
 0.72195816 0.36294687 0.70212402 0.15905441 0.92014894 0.12818741
 0.76619239 0.90756696]",0.3932
noisy_sampling,vanilla,static,10,True,5,>>graph6<<Dm{,1062.6966531276703,330,1.0,"[1, 0, 0, 0, 1]",3.75,"[1.0, 0, 0, 0, 1.0]",3.75,"[1.01247225 0.79334575 0.16344249 0.84464646 0.32022204 0.6924905
 1.03104375 0.28736224 1.28891764 0.36346452 0.40010362 0.49759788
 1.76146396 1.57801045 0.54812247 0.26842927 0.76200249 0.16791919
 1.92526093 1.17588583]",0.1704
noisy_sampling,vanilla,static,10,True,5,>>graph6<<Dm{,979.6013181209564,299,1.0,"[0, 1, 1, 1, 0]",3.75,"[1.0, 0, 0, 0, 1.0]",3.75,"[-0.08966584  0.87010273  0.18046123  0.79983408  0.11218868  0.74099372
  0.57283445  0.47482045  1.21778611  0.58551429  0.38312963  0.38226616
  0.61595792  0.38666431  1.72360292  0.37068196  0.75985836  0.23102968
  0.88786202  0.08788149]",0.158
noisy_sampling,vanilla,static,10,True,5,>>graph6<<Dm{,1003.7293469905853,305,1.0,"[1, 0, 0, 0, 1]",3.75,"[1.0, 0, 0, 0, 1.0]",3.75,"[-0.36968036  0.82829187  1.21339957  1.80961884  0.16680961  0.58856649
 -0.1480788   0.86165477  1.44329269  0.44950342  0.37862317  0.481546
  0.59657425  1.36960151  1.16318365  0.10197471  0.69062388  0.05910589
  1.48524837  1.13259808]",0.1308
noisy_sampling,vanilla,static,10,True,9,>>graph6<<HkPsgZ@,1361.7022466659546,313,0.9333333333333333,"[0, 0, 1, 1, 1, 0, 1, 1, 1]",7.0,"[1.0, 1.0, 0, 0, 0, 0, 1.0, 1.0, 0]",7.5,"[ 0.12477096  0.95598242  1.10899753  0.54318364 -0.24877931  0.7246661
 -0.09175493  0.08326721  0.36543144  1.51730227  0.20487068  0.23641968
  0.65893954  1.35158421  0.67917021  0.03117654  0.52112425  0.02311259
  0.5815076   0.05301942]",0.008799999999999999
noisy_sampling,vanilla,static,10,True,9,>>graph6<<HkPsgZ@,1341.2252717018127,305,0.7,"[0, 0, 1, 0, 0, 1, 0, 1, 1]",5.25,"[1.0, 1.0, 0, 0, 0, 0, 1.0, 1.0, 0]",7.5,"[0.1282178  0.92420455 1.18700376 1.25546429 0.13727457 0.58129507
 0.28099966 0.59332604 0.49765185 0.45976152 0.58182708 1.45557431
 0.56450407 0.34308586 0.83628413 0.41123649 0.95693042 0.17354064
 0.69790125 0.01233755]",0.0104
noisy_sampling,vanilla,static,10,True,9,>>graph6<<HkPsgZ@,1223.5598742961884,279,0.9333333333333333,"[1, 0, 0, 0, 0, 0, 1, 1, 1]",7.0,"[1.0, 1.0, 0, 0, 0, 0, 1.0, 1.0, 0]",7.5,"[0.0992691  0.90062275 0.18975945 1.81241777 0.27798578 0.72225731
 0.36498775 0.63403092 0.45569757 0.54590314 0.5435228  0.4561718
 0.62958283 0.36906144 0.71719346 1.27735035 0.8099845  0.18756733
 0.90143702 0.09924646]",0.0102
noisy_sampling,vanilla,static,10,True,7,>>graph6<<Fm~]w,1472.1555089950562,282,1.0,"[0, 1, 0, 0, 1, 1, 0]",7.0,"[1.0, 0, 1.0, 1.0, 0, 0, 1.0]",7.0,"[-0.15251262  0.7300678  -0.03059156  1.81514837  0.09814174  0.4363104
 -0.45269482  0.57314137  0.27057538  0.37854952  0.42075732  0.15165956
  0.4960663   0.30757577  0.4862257   1.4132097   0.77404166  0.18338353
  0.68492384  1.18221342]",0.02
noisy_sampling,vanilla,static,10,True,7,>>graph6<<Fm~]w,1392.8868954181671,275,0.8928571428571429,"[0, 1, 1, 0, 0, 1, 0]",6.25,"[1.0, 0, 1.0, 1.0, 0, 0, 1.0]",7.0,"[1.1        0.9        0.18888889 0.95491346 0.07327623 0.72222223
 0.36666667 0.63333334 0.45555556 0.54444445 1.54444445 0.45555555
 0.63333334 0.36666666 1.72222222 0.27777778 0.81111111 1.18888889
 0.9        0.10000001]",0.0126
noisy_sampling,vanilla,static,10,True,7,>>graph6<<Fm~]w,1516.5358707904816,297,1.0,"[1, 0, 1, 1, 0, 0, 1]",7.0,"[1.0, 0, 1.0, 1.0, 0, 0, 1.0]",7.0,"[ 0.86990838  0.72465101  0.45594994  0.95032631  0.29433269  0.32694707
  0.09889237  0.59110168  1.7230759   0.19454948  0.46122935  0.27216935
  1.63148857  0.25007132  0.65502291  0.07866268  0.60327644 -0.02005231
  0.82115695  1.01579271]",0.0196
noisy_sampling,vanilla,gaussian,10,False,9,>>graph6<<Hm~]x^^,1529.4696488380432,263,0.6326530612244898,"[0, 0, 1, 1, 1, 0, 0, 0, 0]",7.75,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0]",12.25,"[4.24120541 1.54490424 4.4067998  1.73274966 2.6242176  1.4973251
 2.90200279 1.65227667 2.87992671 1.46560555 2.97019161 1.48107354
 3.2734793  1.56568098 3.13593001 1.68835256 3.25977268 1.54787317
 3.00053213 1.52609848]",0.0056
