,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,lagrangian_multiplier,amount_shots,max_tol,error_mitigation,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
250,gaussian,COBYLA,vanilla,False,True,6,2,5000,1e-08,True,True,5,>>graph6<<DbS,577.528017282486,203,"[1, 1, 0, 1, 1]",4,"[0, 0, 0, 1.0, 1.0]",2.0,"[3.36657585 1.58979449 3.18367623 2.43726227 3.50701983 1.78227133
 3.0110273  1.39548421 3.42027489 1.637536   3.42757542 2.8710099 ]",0.1437
251,gaussian,COBYLA,vanilla,False,True,6,2,5000,1e-08,True,True,5,>>graph6<<DxK,630.6680476665497,213,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[4.18978703 1.34956346 3.07512519 1.49848602 2.94061936 1.44101226
 2.80874635 1.42276311 2.74521223 1.14946821 3.0734727  1.51701722]",0.5887
252,gaussian,COBYLA,vanilla,False,True,6,2,5000,1e-08,True,True,5,>>graph6<<Dv[,716.2765076160431,245,"[1, 1, 1, 1, 1]",5,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.03899297 1.81426186 3.82981663 1.81072432 2.99051684 1.4319614
 4.26178504 1.36332946 3.12968803 2.73403343 2.54451343 1.18143893]",0.1
253,gaussian,COBYLA,vanilla,False,True,2,2,5000,1e-08,True,True,5,>>graph6<<DxK,232.63632917404175,82,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,[2.05159281 1.35839828 3.54507214 1.63736778],0.5855
254,gaussian,COBYLA,vanilla,False,True,2,2,5000,1e-08,True,True,5,>>graph6<<Dv[,250.52231645584106,88,"[0, 0, 1, 1, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,[2.02640378 1.47656381 3.49680572 1.14757938],0.2286
255,gaussian,COBYLA,vanilla,False,True,4,2,5000,1e-08,True,True,5,>>graph6<<DbS,403.04094338417053,146,"[0, 1, 1, 0, 1]",3,"[0, 0, 0, 1.0, 1.0]",2.0,"[4.24171978 1.6899728  2.62028909 1.95309476 4.37297746 1.67750692
 4.12692718 2.56561361]",0.0853
256,gaussian,COBYLA,vanilla,False,True,4,2,5000,1e-08,True,True,5,>>graph6<<DxK,465.2339038848877,162,"[0, 0, 1, 1, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[2.61406119 0.85964569 2.12882509 1.36728816 2.93394817 2.57028155
 3.20195744 1.61036967]",0.6486
257,gaussian,COBYLA,vanilla,False,True,4,2,5000,1e-08,True,True,5,>>graph6<<Dv[,437.475891828537,152,"[1, 1, 0, 1, 1]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[4.15862827 1.90758079 3.0446964  1.73028248 3.31421813 2.93152013
 3.2925661  1.3766378 ]",0.2071
258,gaussian,COBYLA,vanilla,False,True,2,2,5000,1e-08,True,True,5,>>graph6<<DbS,262.0047695636749,92,"[0, 0, 1, 1, 1]",3,"[0, 0, 0, 1.0, 1.0]",2.0,[2.65854403 2.10975023 3.51919192 1.51396837],0.0447
259,gaussian,COBYLA,vanilla,False,True,2,2,5000,1e-08,True,True,5,>>graph6<<DxK,264.4304528236389,93,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,[4.48195944 1.21509725 2.33899698 1.34335874],0.34110000000000007
260,gaussian,COBYLA,vanilla,False,True,6,2,5000,1e-08,True,True,5,>>graph6<<DbS,585.1797022819519,204,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[3.07793462 1.63972762 2.6134783  1.59667659 3.0338895  1.2843539
 3.4898622  1.65976861 4.37114894 1.24047201 3.01753881 1.41559305]",0.3807
