,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,lagrangian_multiplier,amount_shots,max_tol,error_mitigation,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
588,gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,5,>>graph6<<Dv[,52.4690682888031,5000,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.1108394  1.57365283 3.14336984 2.36074846 3.31614113 1.74516905
 2.83397558 1.53276324]",0.0
589,gaussian,COBYLA,vanilla,False,False,6,2,5000,1e-08,True,True,5,>>graph6<<DbS,46.9339873790741,5000,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[4.32474626 1.55423278 3.1301602  2.10339653 4.30066538 1.30484292
 3.03902119 1.7454312  2.78074709 1.58783622 3.49770314 1.47765765]",0.5893
590,gaussian,COBYLA,vanilla,False,False,10,2,5000,1e-08,True,True,5,>>graph6<<DbS,113.23533844947815,5000,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[4.37039862 1.57876746 3.14658484 1.1473886  3.50795863 1.18179196
 3.1516663  1.47119617 2.83409093 1.76942489 3.15279527 1.98133842
 3.05750964 1.26833704 3.11989389 1.76393732 2.78390766 1.09187719
 2.73640962 2.22198286]",0.999
591,gaussian,COBYLA,vanilla,False,False,6,2,5000,1e-08,True,True,5,>>graph6<<DxK,71.4222297668457,5000,"[0, 1, 0, 1, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[2.98206229 2.56179126 2.95931744 2.92463958 2.95578082 2.19552057
 4.2991842  1.60058864 3.02234876 1.28586263 3.9613362  1.49445983]",0.7564
592,gaussian,COBYLA,vanilla,False,False,6,2,5000,1e-08,True,True,5,>>graph6<<Dv[,68.37801694869995,5000,"[1, 1, 0, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[4.21189435 1.4276964  3.2864615  1.54203118 3.25039439 1.44012039
 2.85486352 2.26007709 2.4914828  1.97112345 3.24201499 2.05007914]",0.6039
593,gaussian,COBYLA,vanilla,False,False,8,2,5000,1e-08,True,True,5,>>graph6<<DbS,78.78783869743347,5000,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[3.3782958  2.37135909 3.90979077 1.90788106 2.49814658 1.14069298
 2.82157219 1.66522989 3.32941205 1.72136922 3.23414026 1.43792239
 3.25737203 2.7163943  4.84065442 0.83545485]",0.6387
594,gaussian,COBYLA,vanilla,False,False,8,2,5000,1e-08,True,True,5,>>graph6<<DxK,87.9947018623352,5000,"[1, 0, 1, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[4.36545618 2.6485488  3.47991955 1.00211455 3.04613941 1.85691048
 2.83168197 1.175764   4.61832869 1.54764633 3.25922948 1.41534164
 3.24263012 1.41380195 3.22725291 1.55762094]",0.9419
595,gaussian,COBYLA,vanilla,False,False,8,2,5000,1e-08,True,True,5,>>graph6<<Dv[,84.90119934082031,5000,"[1, 1, 0, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[4.08032274 2.15156093 3.46667343 1.87967586 2.95415294 2.05027804
 3.17133271 0.79449837 3.35603561 2.95481447 3.07146944 1.74655981
 3.4586405  0.67179138 3.90244275 2.17633052]",0.8324
596,gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,5,>>graph6<<DbS,0.8609673976898193,175,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,[3.6544817  2.03302973 4.11066847 2.09870816],0.1079
597,gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,5,>>graph6<<DxK,0.9899404048919678,141,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,[4.25352891 1.32818126 2.74414441 1.44039036],0.6736
