param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,lagrangian_multiplier,amount_shots,max_tol,error_mitigation,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,5,>>graph6<<Dm{,51.83680295944214,5000,"[1, 1, 0, 0, 1]",3,"[1.0, 0, 0, 1.0, 1.0]",3.0,"[3.06925685 0.8431039  1.9291052  1.47927263 4.0536273  1.96873684
 3.44053005 2.12264539]",0.2994
gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,7,>>graph6<<FkPsg,86.13097834587097,5000,"[1, 1, 0, 0, 0, 1, 1]",4,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,"[4.28446665 1.98117151 2.83410311 1.67222517 3.54308696 2.92171439
 2.89548557 2.049122  ]",0.3046
gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,7,>>graph6<<Fm~]w,119.50377058982848,5000,"[1, 0, 0, 1, 1, 1, 1]",5,"[1.0, 0, 0, 1.0, 1.0, 1.0, 1.0]",5.0,"[3.67797546 1.68719712 3.2965135  1.42586675 3.38580341 1.46853209
 4.24627316 2.6391896 ]",0.4620999999999999
gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,9,>>graph6<<HkPsgZ@,127.54411625862122,5000,"[1, 1, 0, 1, 0, 1, 0, 1, 0]",5,"[1.0, 1.0, 0, 1.0, 0, 1.0, 0, 1.0, 0]",5.0,"[3.11192791 2.68598303 3.79637656 1.58251193 4.0398029  1.84004643
 3.23854597 1.43704082]",0.0451
gaussian,COBYLA,vanilla,False,False,6,2,5000,1e-08,True,True,5,>>graph6<<DkO,44.80119729042053,5000,"[1, 1, 0, 0, 0]",2,"[1.0, 1.0, 0, 0, 0]",2.0,"[3.94055572 1.61981849 2.85109969 1.32639299 3.45679507 1.31193151
 2.69116199 2.05818626 2.97824645 0.92860989 2.6021748  1.7469987 ]",0.752
gaussian,COBYLA,vanilla,False,False,6,2,5000,1e-08,True,True,5,>>graph6<<Dm{,78.60948967933655,5000,"[1, 1, 0, 0, 1]",3,"[1.0, 0, 0, 1.0, 1.0]",3.0,"[3.53590483 1.67270206 3.10185188 2.96022323 3.07167603 1.72276939
 3.40868554 2.22109597 2.78855495 3.04235801 3.17082538 1.25966611]",0.3164
gaussian,COBYLA,vanilla,False,False,8,2,5000,1e-08,True,True,9,>>graph6<<Hm~]x^^,332.27947092056274,5000,"[1, 1, 0, 0, 1, 1, 1, 0, 1]",8,"[0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 1.0]",7.0,"[4.59533559 1.5448991  3.7121264  1.54812456 2.95288427 1.42491201
 3.03755631 1.53011899 3.23523478 2.76092756 3.42959008 2.47292738
 4.14937287 1.50781075 3.82890421 2.50167689]",0.3402
gaussian,COBYLA,vanilla,False,False,10,2,5000,1e-08,True,True,9,>>graph6<<HkPsgZ@,286.39527583122253,5000,"[1, 1, 0, 0, 0, 1, 1, 1, 0]",5,"[1.0, 1.0, 0, 1.0, 0, 1.0, 0, 1.0, 0]",5.0,"[2.65308009 1.57550867 3.12869626 1.60430658 3.19998238 1.53504192
 3.06723671 1.65414324 2.6551525  1.50232744 3.5401805  1.70561427
 3.29373018 1.39797208 3.07253792 1.36544481 2.92425355 1.65299303
 3.14163859 1.30771309]",0.0742
gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,9,>>graph6<<Hm~]x^^,177.38200545310974,5000,"[1, 1, 1, 1, 0, 1, 1, 1, 1]",8,"[0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 1.0]",7.0,"[4.20952922 2.72280789 2.91905508 1.45001971 3.01859214 2.85385387
 3.1369114  2.58634693]",0.2045999999999999
gaussian,COBYLA,vanilla,False,False,6,2,5000,1e-08,True,True,7,>>graph6<<FkPsg,121.88506412506104,5000,"[1, 1, 0, 1, 0, 1, 0]",4,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,"[3.05300127 1.87742372 3.72546568 3.1756365  2.90413452 1.70364975
 3.92540546 1.91149149 3.8160116  1.78690131 3.70323419 1.71703848]",0.4639
gaussian,COBYLA,vanilla,False,False,6,2,5000,1e-08,True,True,7,>>graph6<<Fm~]w,162.41190671920776,5000,"[0, 1, 1, 1, 0, 1, 1]",7,"[1.0, 0, 0, 1.0, 1.0, 1.0, 1.0]",5.0,"[2.47718649 2.48426432 3.98477523 1.5404805  3.13585556 2.17748126
 3.51024048 1.5730205  2.96061971 1.83676616 2.8666592  1.6820362 ]",0.0518
gaussian,COBYLA,vanilla,False,False,6,2,5000,1e-08,True,True,9,>>graph6<<HkPsgZ@,187.55094838142395,5000,"[1, 1, 0, 0, 0, 1, 1, 1, 0]",5,"[1.0, 1.0, 0, 1.0, 0, 1.0, 0, 1.0, 0]",5.0,"[4.23378653 1.95288202 3.50990275 1.24741936 4.63897305 3.35563812
 2.84476419 2.41149353 3.06340754 1.35552478 2.77495077 0.60285526]",0.179
gaussian,COBYLA,vanilla,False,False,8,2,5000,1e-08,True,True,5,>>graph6<<DkO,51.80579328536987,5000,"[1, 1, 0, 0, 0]",2,"[1.0, 1.0, 0, 0, 0]",2.0,"[4.01215115 2.16790155 2.98735309 1.04905674 2.82419264 1.29092249
 3.0342442  1.42562435 3.6124642  1.89928691 4.30635653 1.97445752
 1.88984705 1.99479897 3.94321071 1.52973419]",0.8049999999999999
gaussian,COBYLA,vanilla,False,False,8,2,5000,1e-08,True,True,5,>>graph6<<Dm{,94.6883261203766,5000,"[1, 1, 0, 0, 1]",3,"[1.0, 0, 0, 1.0, 1.0]",3.0,"[3.11353337 1.74039168 2.47903654 1.38158892 3.57175833 1.41583413
 2.66074115 1.16703359 4.35817812 1.72080318 3.47318235 1.48094491
 3.16796294 0.93316796 2.68577987 2.77192171]",0.6957
gaussian,COBYLA,vanilla,False,False,8,2,5000,1e-08,True,True,7,>>graph6<<FkPsg,162.09858560562134,5000,"[1, 1, 0, 1, 0, 1, 0]",4,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,"[3.60334332 1.36230174 2.74736841 1.50854275 3.01254367 1.51875931
 3.37788232 1.6241542  3.4503087  1.81411485 3.18541471 0.80856635
 3.4001616  2.05576317 2.45347276 3.13928802]",0.5789
gaussian,COBYLA,vanilla,False,False,10,2,5000,1e-08,True,True,5,>>graph6<<DkO,74.24577403068542,5000,"[1, 0, 0, 1, 0]",2,"[1.0, 1.0, 0, 0, 0]",2.0,"[3.85891569 1.74352271 3.25695962 1.18819091 3.44311957 2.74820909
 3.12015742 1.1462603  2.59290694 1.91782347 3.2440675  1.2956452
 3.24842902 1.92538569 3.02706814 1.81910014 2.5434431  1.43940508
 3.10569664 1.92265141]",0.9684
gaussian,COBYLA,vanilla,False,False,10,2,5000,1e-08,True,True,9,>>graph6<<Hm~]x^^,399.39504051208496,5000,"[1, 1, 1, 1, 0, 1, 1, 1, 1]",8,"[0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 1.0]",7.0,"[2.35988482 1.04161035 4.09716499 1.52850453 2.95133587 2.6877006
 2.69067312 2.7028347  2.8135845  1.69481398 2.92248    1.23874657
 3.14241437 2.05972941 2.80816598 1.78569014 3.14234184 1.65349347
 3.03249795 2.78126245]",0.3811
