,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,rec_vars,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
159,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,209.5442295074463,35,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
160,gaussian,COBYLA,recursive,False,True,1,4,9,D~{,520.701648235321,30,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
161,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,90.01130485534668,29,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
162,gaussian,COBYLA,recursive,False,True,1,5,9,D~{,432.270973443985,34,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
163,gaussian,COBYLA,recursive,False,True,1,5,5,HCrfZzf,0.04099082946777344,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
164,gaussian,COBYLA,recursive,False,True,1,6,9,D~{,298.7092444896698,35,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
165,gaussian,COBYLA,recursive,False,True,1,6,5,HCrfZzf,0.05068802833557129,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
166,gaussian,COBYLA,recursive,False,True,1,7,9,D~{,235.92987298965454,35,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
167,gaussian,COBYLA,recursive,False,True,1,7,5,HCrfZzf,0.04073596000671387,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
168,gaussian,COBYLA,recursive,False,True,1,1,9,D~{,787.352334022522,28,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
169,gaussian,COBYLA,recursive,False,True,1,1,5,HCrfZzf,408.2629497051239,31,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
170,gaussian,COBYLA,recursive,False,True,1,2,9,D~{,757.1328876018524,34,[],[1. 1. 1. 0. 0. 0. 1. 1. 0.],8.033912627316202,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
171,gaussian,COBYLA,recursive,False,True,1,2,5,HCrfZzf,294.39751982688904,32,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
172,gaussian,COBYLA,recursive,False,True,1,3,9,D~{,591.331280708313,29,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
173,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,191.79193758964539,31,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
174,gaussian,COBYLA,recursive,False,True,1,4,9,D~{,518.7179539203644,33,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
175,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,130.54619550704956,37,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
