param_str,final_params
"[4.44214863,3.17370887,3.18922904,1.60991122,3.24996171,1.52024137,2.94234739,1.71495889]","[4.44214863, 3.17370887, 3.18922904, 1.60991122, 3.24996171, 1.52024137, 2.94234739, 1.71495889]"
"[4.68486477,1.53348808,4.187619,3.16537927,3.37447955,1.65073672,3.36474961,2.03008552,3.0539114,1.36450342,3.30541527,1.32558461,3.41576159,2.60494643]","[4.68486477, 1.53348808, 4.187619, 3.16537927, 3.37447955, 1.65073672, 3.36474961, 2.03008552, 3.0539114, 1.36450342, 3.30541527, 1.32558461, 3.41576159, 2.60494643]"
"[2.67002013,2.69976359]","[2.67002013, 2.69976359]"
"[2.90964986,1.53047731,4.19685747,1.45355627,3.98638414,2.51837398,3.61612809,0.96658188,2.81027583,1.53733759,3.16569429,1.56752083,2.88375059,1.71751309,3.54276854,1.76751481,2.62618891,1.69321025,3.33151271,2.61389378]","[2.90964986, 1.53047731, 4.19685747, 1.45355627, 3.98638414, 2.51837398, 3.61612809, 0.96658188, 2.81027583, 1.53733759, 3.16569429, 1.56752083, 2.88375059, 1.71751309, 3.54276854, 1.76751481, 2.62618891, 1.69321025, 3.33151271, 2.61389378]"
"[2.94595222,1.05736085]","[2.94595222, 1.05736085]"
"[3.69388148,1.11293902,2.6647699,1.41061076,4.23651978,2.64728929,2.97111899,3.03719243,3.05123134,1.77171246,2.78109441,2.26787985,3.02863102,3.17938339,3.38289574,1.7244018,2.60948717,1.85902306,3.52521315,1.49819273]","[3.69388148, 1.11293902, 2.6647699, 1.41061076, 4.23651978, 2.64728929, 2.97111899, 3.03719243, 3.05123134, 1.77171246, 2.78109441, 2.26787985, 3.02863102, 3.17938339, 3.38289574, 1.7244018, 2.60948717, 1.85902306, 3.52521315, 1.49819273]"
"[4.90231945,2.06773495,4.37232934,1.31832583,2.68361147,1.62370034,3.2329411,2.9132759,3.27181486,2.23189583,3.1985445,1.93570547,3.13097357,1.75924579]","[4.90231945, 2.06773495, 4.37232934, 1.31832583, 2.68361147, 1.62370034, 3.2329411, 2.9132759, 3.27181486, 2.23189583, 3.1985445, 1.93570547, 3.13097357, 1.75924579]"
"[2.67002008,2.69976358]","[2.67002008, 2.69976358]"
"[2.72477363,3.89273531]","[2.72477363, 3.89273531]"
"[3.63071416,2.7475677 ]","[3.63071416, 2.7475677]"
"[2.94595224,1.05736085]","[2.94595224, 1.05736085]"
"[3.14345911,1.59982708]","[3.14345911, 1.59982708]"
"[4.01134959,0.88525936,3.12927771,1.70999467,1.9996973,1.71368099,3.13707137,1.80113068,2.45186605,1.61156071,3.16850991,2.22173615,4.135168,1.95608361,3.24511458,2.27040782,4.57030585,1.71581077,3.08631568,1.70871614]","[4.01134959, 0.88525936, 3.12927771, 1.70999467, 1.9996973, 1.71368099, 3.13707137, 1.80113068, 2.45186605, 1.61156071, 3.16850991, 2.22173615, 4.135168, 1.95608361, 3.24511458, 2.27040782, 4.57030585, 1.71581077, 3.08631568, 1.70871614]"
"[3.63071421,2.7475677 ]","[3.63071421, 2.7475677]"
"[3.72588633,1.4875531,2.89244156,1.41727964,2.67951038,1.6075047,3.07815376,3.11350635,3.29138827,3.22084639,3.12139782,2.02491544,3.0853914,2.48631951]","[3.72588633, 1.4875531, 2.89244156, 1.41727964, 2.67951038, 1.6075047, 3.07815376, 3.11350635, 3.29138827, 3.22084639, 3.12139782, 2.02491544, 3.0853914, 2.48631951]"
"[2.94595225,1.05736086]","[2.94595225, 1.05736086]"
"[3.73580546,1.53707487,3.2474634,1.60353006,2.72024549,1.34370539,4.54916409,1.37326677]","[3.73580546, 1.53707487, 3.2474634, 1.60353006, 2.72024549, 1.34370539, 4.54916409, 1.37326677]"
"[4.04519683,3.23559866,3.04567639,1.53149907,3.0404183,1.45174278,3.23434028,1.52946952,3.04470737,1.60010035,3.11372476,1.8600532,3.58696032,1.61058767,3.19672233,1.90019338,3.52917804,1.94773637,2.99158906,1.20934568]","[4.04519683, 3.23559866, 3.04567639, 1.53149907, 3.0404183, 1.45174278, 3.23434028, 1.52946952, 3.04470737, 1.60010035, 3.11372476, 1.8600532, 3.58696032, 1.61058767, 3.19672233, 1.90019338, 3.52917804, 1.94773637, 2.99158906, 1.20934568]"
"[4.77162667,2.61747589,4.11378418,1.43134309,3.05093987,1.40482407,2.99873517,1.60711404,3.06800085,1.72623854,3.50024915,2.84873582,3.42362654,1.58994098,3.12039512,1.27544005,2.63969436,1.39474431,3.04468596,1.70037508]","[4.77162667, 2.61747589, 4.11378418, 1.43134309, 3.05093987, 1.40482407, 2.99873517, 1.60711404, 3.06800085, 1.72623854, 3.50024915, 2.84873582, 3.42362654, 1.58994098, 3.12039512, 1.27544005, 2.63969436, 1.39474431, 3.04468596, 1.70037508]"
"[2.51636955,1.39679536,3.12845735,1.53709671,3.06960712,2.18402193,4.21619063,2.3224603 ]","[2.51636955, 1.39679536, 3.12845735, 1.53709671, 3.06960712, 2.18402193, 4.21619063, 2.3224603]"
"[3.63071419,2.74756772]","[3.63071419, 2.74756772]"
"[3.53066692,2.45901515]","[3.53066692, 2.45901515]"
"[2.89066761,0.94280117,3.89137636,1.33564414,3.28792337,1.55466047,3.246033,0.06958832,3.12952673,1.35040128,3.16670638,2.95797972,3.35791498,1.74743162]","[2.89066761, 0.94280117, 3.89137636, 1.33564414, 3.28792337, 1.55466047, 3.246033, 0.06958832, 3.12952673, 1.35040128, 3.16670638, 2.95797972, 3.35791498, 1.74743162]"
